european,Time400,L.100k,Power,Capacity,Price,Weight,Cylinders,Drive
1,16.5,12.5,132,2959,64000,1300,6,1
1,17.9,11.3,115,2500,39000,1170,6,1
1,17.6,9,83,1795,37260,1135,4,1
1,17.1,11.8,95,1990,73830,1325,6,1
1,15.8,12.6,125,2494,76650,1260,6,1
1,16.5,11.9,155,3430,105800,1560,6,1
1,17.9,15,155,3430,145900,1780,6,1
0,18,10.2,66,1295,15500,810,4,1
0,17.9,14.5,139,3949,35537,1555,6,1
0,17.7,14.8,139,3900,25413,1485,6,1
0,18.3,13.4,98,4100,20213,1436,6,1
0,20.7,10.9,61,1600,20937,995,4,1
0,17.4,14.6,139,3949,49467,1612,6,1
0,19,11.9,84,2200,22827,1220,4,1
0,18.5,11.1,79,1800,16869,1060,4,1
0,19,8,50,1300,13104,740,4,1
0,16.6,13.3,125,3791,31265,1395,6,1
0,15.9,12.3,165,4987,34259,1436,8,1
0,16.6,12.9,125,3800,22442,1312,6,1
0,14.9,16.7,180,4987,44000,1436,8,1
0,18.5,10.1,85,2000,33490,1179,4,1
0,18.9,7.7,66.2,1488,20695,930,4,1
0,17.4,9.1,94,1600,30400,909,4,1
0,17.5,14.2,128,2675,58300,1440,6,1
0,17.8,13.4,120,2500,51233,1430,6,1
0,16.8,10.9,106,1958,37467,1155,4,1
0,18.3,11.6,106,2000,34700,1175,4,1
1,17.2,13.4,140,3590,110650,1795,6,1
0,18.3,12.8,118,2954,36615,1500,6,1
0,16.3,14,100,2184,35535,1304,4,1
0,17.8,13.2,118,3000,43220,1500,6,1
0,18,10.4,84,2200,28080,1305,4,1
1,16.6,13,121,2599,87600,1250,6,1
1,16.3,11.7,135,2962,114942,1450,6,1
1,17.1,14.7,135,2962,140988,1660,6,1
1,18.4,10.8,97,2300,89104,1300,4,1
0,21.6,9.2,56,1468,19084,970,4,1
0,18.3,11.3,93,2600,19233,1349,4,1
0,18.4,10.2,85,1600,26910,1120,4,1
0,19.2,12.1,78,2000,16995,1330,4,1
0,18.3,9.5,79,1800,16540,1035,4,1
0,16.8,12.3,140,2962,37090,1365,6,1
0,18.4,14.9,118,2960,20735,1340,6,1
1,19.2,11.4,79.7,1905,35800,1140,6,1
1,16.8,10,108,1905,49000,1160,6,1
1,14.7,11,155,2990,104982,1310,4,1
1,17.2,13.9,128,2675,58940,1465,6,1
1,18,12.8,94,1985,31550,1250,4,1
1,17.6,12.1,118,2000,78140,1335,4,1
0,16.7,8.9,74.3,1298,16990,760,4,1
0,18.4,10.2,88,2000,22073,1260,4,1
0,17.3,13.3,142,2954,40544,1490,6,1
0,17.8,9.1,88,1600,36415,1050,4,1
1,18.2,14.7,114,2316,57900,1370,4,1
1,18.7,10.1,85,2000,18175,1160,4,1
1,16.6,11,125,2309,85000,1320,5,2
1,22.1,11.9,56,1600,12990,1190,4,2
0,22.3,14.9,74,2400,24745,1580,4,2
1,19.8,16.7,110,3500,66680,1862,8,2
0,20,9.8,55,1600,21980,1030,4,2
0,18.9,10.9,76,1600,20500,1250,4,2
0,21.5,14.6,75,2200,28690,1580,4,2
