"DATE","INTERVAL","DURATION"
1,78,4.400000095367432
1,74,3.9000000953674316
1,68,4
1,76,4
1,80,3.5
1,84,4.099999904632568
1,50,2.299999952316284
1,93,4.699999809265137
1,55,1.7000000476837158
1,76,4.900000095367432
1,58,1.7000000476837158
1,74,4.599999904632568
1,75,3.4000000953674316
2,80,4.300000190734863
2,56,1.7000000476837158
2,80,3.9000000953674316
2,69,3.700000047683716
2,57,3.0999999046325684
2,90,4
2,42,1.7999999523162842
2,91,4.099999904632568
2,51,1.7999999523162842
2,79,3.200000047683716
2,53,1.899999976158142
2,82,4.599999904632568
2,51,2
3,76,4.5
3,82,3.9000000953674316
3,84,4.300000190734863
3,53,2.299999952316284
3,86,3.799999952316284
3,51,1.899999976158142
3,85,4.599999904632568
3,45,1.7999999523162842
3,88,4.699999809265137
3,51,1.7999999523162842
3,80,4.599999904632568
3,49,1.899999976158142
3,82,3.5
4,75,4
4,73,3.700000047683716
4,67,3.700000047683716
4,68,4.300000190734863
4,86,3.5999999046325684
4,72,3.799999952316284
4,75,3.799999952316284
4,75,3.799999952316284
4,66,2.5
4,84,4.5
4,70,4.099999904632568
4,79,3.700000047683716
4,60,3.799999952316284
4,86,3.4000000953674316
5,71,4
5,67,2.299999952316284
5,81,4.400000095367432
5,76,4.099999904632568
5,83,4.300000190734863
5,76,3.299999952316284
5,55,2
5,73,4.300000190734863
5,56,2.9000000953674316
5,83,4.599999904632568
5,57,1.899999976158142
5,71,3.5999999046325684
5,72,3.700000047683716
5,77,3.700000047683716
6,55,1.7999999523162842
6,75,4.599999904632568
6,73,3.5
6,70,4
6,83,3.700000047683716
6,50,1.7000000476837158
6,95,4.599999904632568
6,51,1.7000000476837158
6,82,4
6,54,1.7999999523162842
6,83,4.400000095367432
6,51,1.899999976158142
6,80,4.599999904632568
6,78,2.9000000953674316
7,81,3.5
7,53,2
7,89,4.300000190734863
7,44,1.7999999523162842
7,78,4.099999904632568
7,61,1.7999999523162842
7,73,4.699999809265137
7,75,4.199999809265137
7,73,3.9000000953674316
7,76,4.300000190734863
7,55,1.7999999523162842
7,86,4.5
7,48,2
8,77,4.199999809265137
8,73,4.400000095367432
8,70,4.099999904632568
8,88,4.099999904632568
8,75,4
8,83,4.099999904632568
8,61,2.700000047683716
8,78,4.599999904632568
8,61,1.899999976158142
8,81,4.5
8,51,2
8,80,4.800000190734863
8,79,4.099999904632568
