 "1","If Wishes Were Horses","18","1","1977","40000"
 "2","Cuts Like a Knife","18","2","1983","1000000"
 "3","Paul Anka","19","2","1958","1000000"
 "4","Let's Sit This One Out","19","3","1962","1000000"
 "5","American Woman","20","1","1970","10000000"
 "6","Never Say Never","21","3","2011","10000000"
 "7","Believe","21","4","2012","10000000"
 "8","To Be Loved","22","5","2013","1000000"
 "9","Songs of Leonard Cohen","23","1","1967","1000000"
 "10","The Essential Celine Dion","24","6","2011","10000000"
 "11","Rhythm of Love","25","3","1990","10000000"
 "12","Mama Said Knock You Out","26","7","1990","10000000"
 "13","Phenomenon","26","7","1997","10000000"
 "14","Todo A Su Tiempo","27","8","1995","10000000"
 "15","Me And You","28","9","1996","10000000"
 "16","When The Sun Goes Down","28","10","2003","10000000"
 "17","To Whom It May Concern","29","1","2003","1000000"
 "18","Modern Life Is Rubbish","29","1","1993","10000000"
 "19","Everyday Robots","29","11","2014","10000000"
 "20","Thriller","31","11","1982","100000000"
 "21","Michael","31","11","2010","100000000"
 "22","Aladdin Sane","32","1","1973","10000000"
 "23","Toys In The Attic","33","1","1975","10000000"
 "24","Pop","34","9","1997","10000000"
 "25","How To Dismantle An Atomic Bomb","34","1","2004","100000000"
 "26","Speak Now","35","4","2010","10000000"
 "27","How Big, How Blue, How Beautiful","36","5","2015","1000000"
 "28","Imagine","37","1","1971","10000000"
 "29","Meet The Beatles!","37","1","1964","10000000"
 "30","Yesterday And Today","37","1","1966","10000000"
 "31","Master Of Puppets","38","2","1986","10000000"
 "32","Press To Play","39","6","1986","10000000"
 "33","Pipes of Peace","39","6","1983","100000000"
 "34","Trouble","2","7","2003","10000000"
 "35","T.N.T.","40","1","1975","10000000"
 "36","Band Of Gypsys","41","1","1970","10000000"
 "37","Graduation","42","7","2007","100000000"
 "38","Human After All","43","8","2005","10000000"
 "39","G I R L","44","9","2014","10000000"
 "40","Ray Charles","45","7","1957","10000000"
 "41","The Genius Sings The Blues","45","2","1961","10000000"
 "42","Tenor Arias From Italian Opera","46","5","1971","10000000"
 "43","Marlene Dietrich Overseas","47","2","1952","100000"
 "44","Pure Heroine","48","3","2013","10000000"
 "45","Homogenic","49","3","1997","10000000"
 "46","Live In New York City","50","1","2001","100000000"
 "47","People","51","3","1964","10000000"
 "48","The Fame Monster","52","4","2009","100000000"
 "49","Born This Way","52","4","2011","100000000"
 "50","The Beat Of My Heart","53","5","1957","100000000"
 "51","Girl On Fire","54","5","2012","10000000"
 "52","The Blueprint 3","55","7","2009","100000000"
 "53","Confessions Special Edition","56","7","2004","10000000"
 "54","Bella Donna","57","1","1981","10000000"
 "55","Hotel California","1","1","1976","100000000"
 "56","The 20/20 Experience","58","2","2013","100000000"
 "57","Steppenwolf","16","1","1968","100000000"
 "58","Appetite For Destruction","60","1","1987","100000000"
 "59", "Waking Up the Neighbours", "18", "3", "1991", "90000000"
 "60","The Second","16","4","1968","100000000"
 "61","Monster","16","2","1969","150000000"
