"1","1","1"
"2","2","2"
"3","3","3"
"4","4","4"
"5","5","5"
"6","6","6"
"7","6","6"
"8","7","7"
"9","7","7"
"10","8","8"
"11","9","9"
"12","9","9"
"13","10","10"
"14","10","10"
"15","11","11"
"16","12","12"
"17","13","13"
"18","14","14"
"19","15","15"
"20","16","16"
"21","17","17"
"22","18","18"
"23","19","19"
"24","20","20"
"25","20","20"
"26","20","20"
"27","21","21"
"28","22","22"
"29","23","23"
"30","23","23"
"31","24","24"
"32","25","25"
"33","26","26"
"34","27","27"
"35","28","28"
"36","29","29"
"37","30","30"
"38","31","31"
"39","32","32"
"40","33","33"
"41","34","34"
"42","35","35"
"43","36","6"
"44","37","3"
"45","38","3"
"46","39","9"
"47","40","0"
"48","41","1"
"49","42","2"
"50","43","3"
"51","44","4"
"52","45","5"
"53","46","6"
"54","47","7"
"55","48","8"
"56","49","4"
"57","50","5"
"58","51","1"
"59","52","2"
"60","52","2"
"61","53","3"
"62","54","4"
"63","54","4"
"64","55","5"
"65","56","6"
"66","57","7"
"67","58","8"
"67","57","3"
