"1","Receiver Records Limited","France"
"2","A&M Records","Canada"
"3","Paramount","France"
"4","RCA Victor","America"
"5","RCA Victor","America"
"6","Universal","China"
"7","Island Records","America"
"8","Reprise","America"
"9","Columbia","America"
"10","Sony Music","Canada"
"11","PMW Records","UK"
"12","Def Jam Recordings","America"
"13","Def Jam Recordings","America"
"14","Sony Discos","America"
"15","BNA Records","America"
"16","BNA Records","America"
"17","Capitol Records","America"
"18","Food, Food","UK"
"19","Parlophone","UK"
"20","Epic","America"
"21","Epic","America"
"22","RCA Victor","UK"
"23","Columbia","America"
"24","Island Records","UK"
"25","Island Records","UK"
"26","Big Machine Records","America"
"27","Island Records","UK"
"28","Apple Records","UK"
"29","Capitol Records","America"
"30","Capitol Records","America"
"31","Elektra","America"
"32","Parlophone","Britain"
"33","Parlophone","Britain"
"34","Universal Records","Britain"
"35","Albert Productions","Australia"
"36","Capitol Records","America"
"37","Fella Records","America"
"38","Virgin","UK"
"39","Columbia","UK"
"40","Atlantic","America"
"41","Atlantic","America"
"42","Decca","UK"
"43","Columbia","America"
"44","Universal Music New Zealand","New Zealand"
"45","One Little Indian","UK"
"46","Columbia","UK"
"47","Columbia","America"
"48","Streamline Records","America"
"49","Streamline Records","UK"
"50","Columbia","America"
"51","RCA","America"
"52","Roc Nation","America"
"53","Arista","UK"
"54","Modern Records","America"
"55","Asylum Records","America"
"56","RCA","America"
"57","ABC / Dunhill Records","America"
"58","Geffen Records","America"
